83.59㎡,1996年-2013年建,中层(共6层),/sale/500586394?insource=sale_list&top=28,东南,三乡-文昌路-,3室1厅,随时看房/满两年/房本在手,宝之园 实用3房，精装修，楼梯好楼层,58,6939元/㎡,精装
88㎡,2015年-2017年建,中层(共9层),/sale/501846998?insource=sale_list&top=29,北,三乡-雅居乐-,3室2厅,满两年,瑞信美域 3室2厅88m²毛坯,86,9773元/㎡,毛坯
91.85㎡,2007年-2015年建,低层(共15层),/sale/500149628?insource=sale_list&top=30,西南,三乡-雅居乐-,3室2厅,随时看房/满两年/电梯,巴厘晓筑 3房2卫，送入户花园，赠送面积多,85,9254元/㎡,毛坯
area,date,floor,link,orientation,pos,style,tag,title,total_price,unit_price,zx_type
106.15㎡,2015年建,中层(共34层),/sale/500540407?insource=sale_list&top=1&optimalType=optimization,南,三乡-三乡-,4室2厅,中山市三乡镇白石环小学/随时看房/电梯,华发观山水花园(B1-1、B1-2、B4区) 珠海华发出品，高层洋房,95,8950元/㎡,毛坯
120㎡,1998年-2016年建,低层(共7层),/sale/502303386?insource=sale_list&top=2&optimalType=optimization,西南,三乡-雅居乐-,3室2厅,随时看房/满两年/房本在手,丽景城市广场 3室2厅120m²精装修 带花园,82,6833元/㎡,精装
119.27㎡,1998年-2008年建,高层(共7层),/sale/500069925?insource=sale_list&top=3&optimalType=optimization,东北,三乡-金涌大道-,3室2厅,中山市三乡镇光后中心小学/随时看房/满两年,教师村 笋盘特别推荐！！！笋盘特别推荐！！！,63,5282元/㎡,精装
94.46㎡,2015年建,高层(共34层),/sale/500519238?insource=sale_list&top=4&optimalType=optimization,南,三乡-三乡-,3室2厅,中山市三乡镇白石环小学/随时看房/电梯,华发观山水花园(B1-1、B1-2、B4区) 3室2厅94.46m²普通装修,85,8999元/㎡,毛坯
112.31㎡,1998年-2016年建,高层(共5层),/sale/500606172?insource=sale_list&top=5&optimalType=optimization,西南,三乡-雅居乐-,3室2厅,随时看房/满两年,丽景城市广场 3室2厅1厨2卫 112.34m² 精致装修,84,7479元/㎡,精装
87.01㎡,2005年-2020年建,低层(共33层),/sale/500550775?insource=sale_list&top=6&optimalType=optimization,东南,三乡-雅居乐-,3室2厅,随时看房/满两年/电梯,雅居乐万象郡二期 3室2厅87.01m²毛坯,90,10344元/㎡,毛坯
112.09㎡,2001年-2015年建,低层(共7层),/sale/501907956?insource=sale_list&top=7&optimalType=optimization,南,三乡-雅居乐-,3室2厅,满两年/房本在手,半山午后 3室2厅112.09m²精装修,95,8475元/㎡,精装
103㎡,2011年-2018年建,低层(共32层),/sale/500848905?insource=sale_list&top=8&optimalType=optimization,东北,三乡-雅居乐-,3室2厅,中山市三乡镇光后中心小学/电梯,雅居乐新城诺丁山 全新毛坯！3房2厅。 电梯中层！价格实惠！,99,9612元/㎡,毛坯
94.02㎡,2015年建,低层(共20层),/sale/500014707?insource=sale_list&top=9&optimalType=optimization,南,三乡-三乡-,3室2厅,中山市三乡镇白石环小学/随时看房/满两年/电梯,华发观山水花园(B1-1、B1-2、B4区) 3室毛坯房，格局方正，毛坯房给您更多的自由装修空间,85,9041元/㎡,毛坯
90.35㎡,2010年-2019年建,低层(共32层),/sale/501337691?insource=sale_list&top=10&optimalType=optimization,南,三乡-三乡-,3室2厅,随时看房/电梯,畔山中心城 诚心出售，3室2厅90.75m²毛坯,94,10404元/㎡,毛坯
106㎡,2015年-2017年建,低层(共14层),/sale/502495396?insource=sale_list&top=11&optimalType=optimization,南,三乡-雅居乐-,3室2厅,随时看房/电梯,瑞信美域 3室2厅106m²毛坯,88,8302元/㎡,毛坯
105㎡,2001年-2015年建,高层(共22层),/sale/502524986?insource=sale_list&top=12&optimalType=optimization,西,三乡-雅居乐-,3室2厅,随时看房/满五年/电梯,半山午后 3室2厅105m²满五年,73,6952元/㎡,毛坯
105.26㎡,1996年-2013年建,中层(共9层),/sale/501385209?insource=sale_list&top=13&optimalType=optimization,南,三乡-文昌路-,3室2厅,满两年,宝之园 3室2厅105.26m²精装修,95,9025元/㎡,精装
111.39㎡,1996年-2016年建,中层(共6层),/sale/500445486?insource=sale_list&top=14&optimalType=optimization,北,三乡-雅居乐-,3室2厅,中山市三乡镇光后中心小学/随时看房/满五唯一,东城花园 3室2厅111.39m²满五年,95,8529元/㎡,简装
106㎡,2015年-2017年建,低层(共16层),/sale/501177499?insource=sale_list&top=15&optimalType=optimization,北,三乡-雅居乐-,3室2厅,随时看房/满五唯一/电梯,瑞信美域 3室2厅106m²满五年,85,8019元/㎡,毛坯
87㎡,2005年-2020年建,高层(共33层),/sale/502336577?insource=sale_list&top=16&optimalType=optimization,东北,三乡-雅居乐-,3室2厅,随时看房/电梯,雅居乐万象郡二期 3室2厅87m²精装修,88,10115元/㎡,精装
87.92㎡,2001年-2013年建,高层(共6层),/sale/100280171?insource=sale_list&top=17&optimalType=optimization,北,三乡-雅居乐-,3室2厅,中山市三乡镇光后中心小学/满五年,骏景新盛世   繁华地段 南北对通 低首付 送入户花园 ,60,6824元/㎡,简装
91.2㎡,2012年建,中层(共25层),/sale/100515181?insource=sale_list&top=18&optimalType=optimization,西南,三乡-三乡-,3室2厅,中山市三乡镇鸦岗小学/随时看房/满两年/电梯,润颐居二期 2室2厅1厨1卫 91.0m² 毛坯,98,10746元/㎡,毛坯
95㎡,2015年建,中层(共34层),/sale/502492559?insource=sale_list&top=19,南,三乡-三乡-,3室2厅,中山市三乡镇白石环小学/满两年/电梯,华发观山水花园(B1-1、B1-2、B4区) 3室2厅95m²毛坯,95,10000元/㎡,毛坯
118㎡,1998年-2016年建,低层(共7层),/sale/500322905?insource=sale_list&top=20,南,三乡-雅居乐-,3室2厅,满两年,"丽景城市广场 载德小学旁 精装修3房,低楼层,",100,8475元/㎡,精装
91㎡,2010年-2019年建,低层(共32层),/sale/501035337?insource=sale_list&top=21,南,三乡-三乡-,3室2厅,随时看房/满两年/电梯,畔山中心城 3室2厅91m²毛坯,100,10989元/㎡,毛坯
129.52㎡,2000年建,低层(共6层),/sale/500184278?insource=sale_list&top=22,北,三乡-金涌大道-,4室2厅,中山市三乡镇初级中学/满两年,三鑫教师村 4室2厅129.52m²满五年,100,7721元/㎡,精装
101.96㎡,2005年-2016年建,低层(共25层),/sale/502411347?insource=sale_list&top=23,东北,三乡-三乡-,3室2厅,随时看房/满五唯一/电梯,雅居乐森岚 3室2厅101.96m²满五年,95,9317元/㎡,精装
77㎡,2005年建,高层(共6层),/sale/100536376?insource=sale_list&top=24,南,三乡-雅居乐-,3室2厅,中山市三乡镇平岚小学/满两年/房本在手,平东市场 3室2厅0厨1卫77.0m²普通装修,65,8442元/㎡,简装
88.5㎡,2017年-2018年建,高层(共24层),/sale/500603459?insource=sale_list&top=25,东南,三乡-三乡-,3室2厅,电梯,德瑞花园 实用3房，电梯中高层，毛坯，105国道旁,90,10169元/㎡,毛坯
94.2㎡,1996年-2016年建,高层(共11层),/sale/500105587?insource=sale_list&top=26,西北,三乡-文昌路-,3室2厅,满五唯一/电梯,幸福湾1期 3室2厅94.2m²满五年,95,10085元/㎡,精装
95.83㎡,1996年-2016年建,中层(共15层),/sale/500085539?insource=sale_list&top=27,北,三乡-文昌路-,3室2厅,满两年/电梯,幸福湾1期 实用3房，大型优美小区，入住率高,96,10018元/㎡,精装
98.94㎡,2000年-2007年建,高层(共6层),/sale/500548389?insource=sale_list&top=28,东北,三乡-文昌路-,3室2厅,满两年,小桃园 ²精装修大3房，保养好,62,6266元/㎡,精装
114.51㎡,2004年建,高层(共6层),/sale/502389865?insource=sale_list&top=29,东,三乡-三乡-,3室2厅,中山市三乡镇光后中心小学/满五年/房本在手,供销新村 3室2厅114.51m²普通装修,48,4192元/㎡,简装
108㎡,1996年-2015年建,中层(共6层),/sale/500740019?insource=sale_list&top=30,南,三乡-文昌路-,4室2厅,满五年,皇冠花园 3室2厅108m²普通装修,82,7593元/㎡,简装
83㎡,2018年建,高层(共5层),/sale/502574079?insource=sale_list&top=781,东,三乡-三乡-,3室2厅,中山市三乡镇新圩小学/满两年,金湾装饰建材商业广场 3室2厅83m²毛坯,60,7229元/㎡,毛坯
88.81㎡,1988年-2018年建,中层(共16层),/sale/501219367?insource=sale_list&top=782,南,三乡-三乡-,3室2厅,满两年/房本在手/电梯,鸿都花园 3室2厅88.81m²毛坯,88,9909元/㎡,毛坯
93㎡,2010年建,低层(共9层),/sale/502239942?insource=sale_list&top=751,东南,三乡-雅居乐-,3室2厅,满五唯一/房本在手,金天地花园 3室2厅93m²精装修,85,9140元/㎡,精装
94㎡,2006年-2016年建,中层(共11层),/sale/500216522?insource=sale_list&top=752,北,三乡-小琅环路-,3室2厅,满两年/电梯,东城畔山 3室2厅94m²精装修,90,9574元/㎡,精装
95㎡,2002年建,高层(共4层),/sale/502453756?insource=sale_list&top=753,北,三乡-三乡-,3室2厅,满两年,三鑫花园 3室2厅95m²精装修,75,7895元/㎡,精装
96㎡,2001年-2015年建,中层(共22层),/sale/502524988?insource=sale_list&top=754,东南,三乡-雅居乐-,3室2厅,满五唯一/电梯,半山午后 3室2厅96m²满五年,86,9000元/㎡,毛坯
91.5㎡,2005年-2011年建,高层(共16层),/sale/500203869?insource=sale_list&top=755,南,三乡-雅居乐-,3室2厅,房本在手/电梯,嘉美苑 3室2厅91.5m²普通装修,85,9290元/㎡,简装
108㎡,1999年-2002年建,高层(共2层),/sale/500513694?insource=sale_list&top=756,南,三乡-雅居乐-,4室2厅,满五唯一,侨兴花园 4室2厅108m²精装修,65,6019元/㎡,精装
107㎡,2000年-2013年建,中层(共5层),/sale/502642323?insource=sale_list&top=757,南,三乡-雅居乐-,3室2厅,房本在手,丽景广场景阳居 3室2厅107m²精装修,90,8411元/㎡,精装
108.5㎡,1999年-2002年建,中层(共8层),/sale/502463887?insource=sale_list&top=758,南,三乡-雅居乐-,3室2厅,满五年,侨兴花园 3室2厅108.5m²精装修,68,6267元/㎡,精装
93㎡,2006年-2016年建,高层(共11层),/sale/501224123?insource=sale_list&top=759,南,三乡-小琅环路-,3室2厅,电梯,东城畔山 3室2厅93m²精装修,85,9140元/㎡,精装
102㎡,2005年建,高层(共6层),/sale/501285781?insource=sale_list&top=760,东,三乡-雅居乐-,3室2厅,中山市三乡镇雍陌小学/满五年,泰兴楼 3室2厅102m²精装修,95,9314元/㎡,精装
89.91㎡,2005年-2020年建,中层(共33层),/sale/502524656?insource=sale_list&top=761,南,三乡-雅居乐-,3室2厅,满五年/电梯,雅居乐万象郡二期 3室2厅89.91m²满五年,92,10232元/㎡,毛坯
100.15㎡,1995年-2013年建,高层(共7层),/sale/501357475?insource=sale_list&top=762,南,三乡-文昌路-,3室2厅,中山市三乡镇光后中心小学/满两年/房本在手,华丰花园8区 3室2厅100.15m²满五年,51,5092元/㎡,简装
98㎡,2000年-2013年建,中层(共6层),/sale/500034579?insource=sale_list&top=763,南,三乡-金涌大道-,3室2厅,满两年,君怡花园 3室2厅98m²普通装修,75,7653元/㎡,简装
91.78㎡,2012年建,低层(共25层),/sale/500384223?insource=sale_list&top=764,南,三乡-三乡-,3室2厅,中山市三乡镇鸦岗小学/满两年/电梯,润颐居二期 3室2厅91.78m²精装修,100,10896元/㎡,精装
83㎡,2003年建,低层(共7层),/sale/501219146?insource=sale_list&top=765,南,三乡-雅居乐-,3室2厅,中山市三乡镇光后中心小学/满五年/房本在手,雅居乐花园4-6期 3室2厅83m²满五年,89,10723元/㎡,精装
91㎡,2005年-2011年建,中层(共16层),/sale/500353846?insource=sale_list&top=766,西北,三乡-雅居乐-,3室2厅,电梯,嘉美苑 3室2厅91m²普通装修,76,8352元/㎡,简装
93㎡,2005年-2011年建,中层(共16层),/sale/500062767?insource=sale_list&top=767,西北,三乡-雅居乐-,3室2厅,随时看房/满两年/电梯,嘉美苑 3室2厅93m²毛坯,73,7849元/㎡,毛坯
89.9㎡,2019年建,中层(共11层),/sale/502397016?insource=sale_list&top=768,南,三乡-三乡-,3室2厅,中山市三乡镇大布小学/满五唯一/房本在手,大翼御龙轩 3室2厅89.9m²满五年,80,8899元/㎡,毛坯
110.5㎡,2003年-2010年建,高层(共6层),/sale/502662397?insource=sale_list&top=769,南,三乡-小琅环路-,3室2厅,满五年,绿盈轩 3室2厅110.5m²满五年,70,6335元/㎡,精装
80㎡,1996年-2016年建,中层(共15层),/sale/501959326?insource=sale_list&top=770,南,三乡-文昌路-,3室1厅,满两年/电梯,幸福湾1期 3室1厅80m²精装修,100,12500元/㎡,精装
99.45㎡,2013年建,中层(共32层),/sale/502647121?insource=sale_list&top=771,东,三乡-雅居乐-,3室2厅,房本在手/电梯,雅居乐万象郡一期 3室2厅99.45m²毛坯,98,9854元/㎡,毛坯
76㎡,2000年-2013年建,低层(共6层),/sale/502055977?insource=sale_list&top=772,南,三乡-金涌大道-,3室1厅,满五唯一/房本在手,君怡花园 3室1厅76m²满五年,55,7237元/㎡,简装
95㎡,2005年-2011年建,高层(共16层),/sale/502459958?insource=sale_list&top=773,南,三乡-雅居乐-,3室2厅,满五唯一/房本在手/电梯,嘉美苑 3室2厅95m²满五年,73,7684元/㎡,毛坯
97㎡,2002年-2017年建,中层(共6层),/sale/502533967?insource=sale_list&top=774,南,三乡-文昌路-,3室2厅,满两年,家庆居 3室2厅97m²普通装修,88,9072元/㎡,简装
115㎡,2000年建,中层(共7层),/sale/502578522?insource=sale_list&top=775,西北,三乡-雅居乐-,3室2厅,中山市三乡镇载德小学/房本在手,丽景花园 3室2厅115m²普通装修,79,6870元/㎡,简装
89.69㎡,2015年-2019年建,高层(共16层),/sale/502159838?insource=sale_list&top=776,东北,三乡-金涌大道-,3室2厅,满两年/房本在手/电梯,爱琴半岛 3室2厅89.69m²毛坯,89,9923元/㎡,毛坯
87.01㎡,2005年-2020年建,高层(共33层),/sale/502450823?insource=sale_list&top=777,东南,三乡-雅居乐-,3室2厅,满两年/电梯,雅居乐万象郡二期 3室2厅87.01m²毛坯,95,10918元/㎡,毛坯
94.71㎡,2013年建,低层(共32层),/sale/500113834?insource=sale_list&top=778,西北,三乡-雅居乐-,3室2厅,满两年/电梯,雅居乐万象郡一期 3室2厅94.71m²毛坯,95,10031元/㎡,毛坯
80㎡,1994年-2014年建,中层(共7层),/sale/500343090?insource=sale_list&top=779,西北,三乡-雅居乐-,3室2厅,房本在手,雅居乐逸湖居 3室2厅80m²普通装修,78,9750元/㎡,简装
91㎡,2005年-2011年建,高层(共16层),/sale/500342777?insource=sale_list&top=780,南,三乡-雅居乐-,3室2厅,满五年/电梯,嘉美苑 3室2厅91m²满五年,85,9341元/㎡,精装
96㎡,2001年-2008年建,高层(共6层),/sale/502605567?insource=sale_list&top=61,南,三乡-雅居乐-,3室2厅,满五唯一/电梯,丽景嘉园一期 繁华地段 南北对通 低首付 送入户花园,75,7812元/㎡,精装
100㎡,1995年-2013年建,中层(共7层),/sale/502519920?insource=sale_list&top=62,东北,三乡-文昌路-,3室2厅,中山市三乡镇光后中心小学/满五年/房本在手,华丰花园8区 上学房！3室2厅100m²满五年，红本在手！,60,6000元/㎡,简装
89㎡,1990年-2019年建,高层(共33层),/sale/501501388?insource=sale_list&top=63,北,三乡-三乡-,3室2厅,随时看房/满两年/电梯,雅居乐万象郡3期 3室2厅91m²精装修,98,11011元/㎡,精装
89.6㎡,2013年建,中层(共6层),/sale/500058827?insource=sale_list&top=64,南,三乡-雅居乐-,3室2厅,满两年/房本在手,君林水岸 拎包入住！3室2厅89.6m²精装修，红本在手！,69,7701元/㎡,精装
115㎡,2000年-2010年建,低层(共7层),/sale/502531707?insource=sale_list&top=65,南,三乡-雅居乐-,3室3厅,中山市三乡镇光后中心小学/满五年/房本在手/电梯,新乐苑 3室3厅115m²满五年,78,6783元/㎡,精装
91.77㎡,2012年建,中层(共25层),/sale/500026446?insource=sale_list&top=66,南,三乡-三乡-,3室2厅,中山市三乡镇鸦岗小学/电梯,"润颐居二期 3室2厅1厨,1卫91m²毛坯，红本在手！",89,9698元/㎡,毛坯
94.93㎡,2000年建,低层(共6层),/sale/500589731?insource=sale_list&top=67,东,三乡-金涌大道-,3室2厅,中山市三乡镇初级中学/满五唯一/房本在手,三鑫教师村 3室2厅94.93m²满五年,67,7058元/㎡,简装
101㎡,2005年-2011年建,中层(共16层),/sale/500352474?insource=sale_list&top=68,南,三乡-雅居乐-,3室2厅,满两年/电梯,嘉美苑 急！急！3室2厅1厨，1卫，101m²普通装修,90,8911元/㎡,简装
87.43㎡,2017年-2018年建,中层(共31层),/sale/500490489?insource=sale_list&top=69,东南,三乡-三乡-,3室2厅,随时看房/满两年/电梯,德瑞花园 105国道旁，去珠海方便3室2厅87.43m²毛坯,88,10065元/㎡,毛坯
105㎡,2000年建,中层(共6层),/sale/500180767?insource=sale_list&top=70,南,三乡-文昌路-,3室2厅,中山市三乡镇光后中心小学/,"华丰花园6区 光后小学旁,装修保养好",80,7619元/㎡,精装
110.2㎡,1996年-2013年建,中层(共5层),/sale/500505186?insource=sale_list&top=71,北,三乡-文昌路-,3室2厅,满五年,"绿榕居 三乡繁华地段,小区安静,管理严格",85,7713元/㎡,简装
102㎡,1988年-2018年建,高层(共25层),/sale/501502851?insource=sale_list&top=72,北,三乡-三乡-,3室2厅,随时看房/满两年/电梯,鸿都花园   低首付 送入户花园 业主真心出售 随时看房,85,8333元/㎡,毛坯
95.22㎡,2015年建,中层(共34层),/sale/500566270?insource=sale_list&top=73,南,三乡-三乡-,3室2厅,中山市三乡镇白石环小学/随时看房/电梯,华发观山水花园(B1-1、B1-2、B4区) 此户型方正，使用率高，小区环境优美,85,8927元/㎡,毛坯
96.35㎡,1988年-2018年建,高层(共16层),/sale/500040953?insource=sale_list&top=74,南,三乡-三乡-,3室2厅,满两年/电梯,鸿都花园 南北对通 低首付 送入户花园.低首付 ,100,10379元/㎡,毛坯
93㎡,2005年-2019年建,低层(共24层),/sale/500262005?insource=sale_list&top=75,南,三乡-三乡-,3室2厅,满两年/电梯,鼎威花园 住家非常的方便，小区户型方正，采光通风都很好,98,10538元/㎡,毛坯
104.17㎡,2001年-2015年建,低层(共22层),/sale/502595950?insource=sale_list&top=76,东,三乡-雅居乐-,3室2厅,随时看房/满五年/电梯,半山午后  三房 二卫  全新装修 拎包入住,95,9120元/㎡,精装
121㎡,1996年-2013年建,低层(共5层),/sale/502525102?insource=sale_list&top=77,西南,三乡-文昌路-,3室2厅,随时看房/满两年,绿榕居 拎包入住！3室2厅121m²精装修，红本在手！,93,7686元/㎡,精装
93㎡,2005年建,中层(共23层),/sale/500070718?insource=sale_list&top=78,西南,三乡-雅居乐-,3室2厅,中山市三乡镇光后中心小学/满两年/电梯,雅居乐酒店 3室1厅93m²普通装修,85,9140元/㎡,简装
119㎡,,高层(共7层),/sale/500052685?insource=sale_list&top=79,南,三乡-三乡-,4室2厅,中山市三乡镇载德小学/满五年/房本在手,三乡农行宿舍楼 周边配套齐全   有学校 有卖场 市场 ,68,5714元/㎡,简装
93.84㎡,2012年建,中层(共25层),/sale/500118917?insource=sale_list&top=80,南,三乡-三乡-,3室2厅,中山市三乡镇鸦岗小学/随时看房/满两年/电梯,润颐居二期 3室2厅93.84m²毛坯,94,10017元/㎡,毛坯
112㎡,2001年-2015年建,高层(共7层),/sale/100559553?insource=sale_list&top=81,南北,三乡-雅居乐-,3室2厅,满两年,半山午后 三鑫学校旁复式三房毛坯可改4房户型方正,100,8929元/㎡,毛坯
111.2㎡,2001年建,高层(共11层),/sale/501158494?insource=sale_list&top=82,北,三乡-雅居乐-,3室2厅,中山市三乡镇平岚小学/随时看房/满两年,怡福阳光花园A区 3室2厅111.2m²毛坯,100,8993元/㎡,毛坯
91.14㎡,1990年-2019年建,低层(共32层),/sale/500059820?insource=sale_list&top=83,东,三乡-三乡-,3室2厅,随时看房/满两年/电梯,雅居乐万象郡3期 精装修小3房 视野无遮挡 采光充足,100,10972元/㎡,精装
89㎡,2018年建,中层(共11层),/sale/100388235?insource=sale_list&top=84,东北,三乡-雅居乐-,3室2厅,随时看房/满两年,雅居乐新城塞纳湖 业主诚心出售，保养干净,97,10899元/㎡,精装
89㎡,2015年-2019年建,中层(共20层),/sale/500375816?insource=sale_list&top=85,南,三乡-三乡-,3室2厅,满两年/电梯,云山汇景豪园 3室2厅89m²毛坯,85,9551元/㎡,毛坯
94.82㎡,2005年-2015年建,中层(共11层),/sale/502151532?insource=sale_list&top=86,东北,三乡-三乡-,3室2厅,满两年,雅苑新城 3室2厅94.82m²毛坯,86,9070元/㎡,毛坯
85㎡,1992年-2001年建,高层(共7层),/sale/500103653?insource=sale_list&top=87,南,三乡-小琅环路-,3室2厅,满五唯一/房本在手,嘉豪山庄 3室2厅1厨1卫 85.0m² 普通装修,57,6706元/㎡,简装
105.9㎡,2005年-2020年建,低层(共33层),/sale/500017349?insource=sale_list&top=88,西北,三乡-雅居乐-,3室2厅,随时看房/满五年/电梯,雅居乐万象郡二期 标准3房2卫 电梯中层 看园内别墅区 价格实惠,100,9443元/㎡,毛坯
